hour,day,month,weekday,electricity_lag1,electricity_lag24,electricity_rolling24,is_holiday,is_semester,is_exam,campus_id_x,campus_id_y,apparent_temperature,air_temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction,water_lag1h,water_lag24h,water_lag168h,water_rolling7d,electricity_true,water_true,garbage_true,electricity_pred,water_pred,garbage_pred,is_anomaly,electricity_cost_actual,water_cost_actual,garbage_cost_actual,total_cost_actual,electricity_cost_pred,water_cost_pred,garbage_cost_pred,total_cost_pred,cost_difference
0,10,1,6,11.468262956100885,11.468262956100885,8.502498658536584,0.0,0,0,1.0,1.0,20.665666666666667,21.66633333333333,11.488666666666667,54.64,10.422666666666668,145.99666666666667,221.60991542038366,221.60991542038366,221.60991542038366,118.04095342406666,8.502498658536584,118.04095342406666,25.0,8.533232,118.70734,26.204895,1,68.01998926829268,5311.842904083,1875.0,7254.862893351293,68.265854,5341.83,1965.3672,7375.463,-120.59999727370723
1,10,1,6,8.502498658536584,11.468262956100885,8.563485081300813,0.0,0,0,1.0,1.0,19.877333333333333,20.282333333333334,12.217333333333332,61.99,8.069666666666667,149.10333333333332,118.04095342406666,221.8281853072656,221.8281853072656,118.05202009073332,8.624471504065042,118.0630867574,25.0,8.499658,116.55027,26.011337,0,68.99577203252034,5312.838904083,1875.0,7256.83467611552,67.99726,5244.762,1950.8503,7263.6094,-6.774698884480131
2,10,1,6,8.624471504065042,11.468262956100885,8.532407191297317,0.0,0,0,1.0,1.0,18.93,19.266333333333332,12.644666666666668,68.08,6.7026666666666666,137.10333333333332,118.0630867574,222.95715940206995,222.95715940206995,118.05813120184445,8.470251411290324,118.07035342406667,25.0,8.529453,116.55027,25.274178,1,67.76201129032259,5313.165904083,1875.0,7255.927915373322,68.23563,5244.762,1895.5634,7208.5615,47.36639193582232
3,10,1,6,8.470251411290324,11.468262956100885,8.514383578956858,0.0,0,0,1.0,1.0,18.304666666666666,18.32,12.309666666666667,70.44333333333333,5.362666666666667,140.50333333333333,118.07035342406667,221.81150862224482,221.81150862224482,118.06517009073333,8.460312741935484,118.0862867574,25.0,8.421094,116.55027,25.364113,0,67.68250193548387,5313.8829040830005,1875.0,7256.565406018484,67.36875,5244.762,1902.3085,7214.4395,42.12595289348428
4,10,1,6,8.460312741935484,11.468262956100885,8.49620767591449,0.0,0,0,1.0,1.0,17.827,17.557000000000002,12.195666666666666,72.69333333333333,4.880333333333333,149.05333333333334,118.0862867574,221.92715258203046,221.92715258203046,118.06954342406667,8.42350406374502,118.0870367574,25.0,8.410026,116.643005,24.85492,0,67.38803250996015,5313.916654083,1875.0,7256.30468659296,67.280205,5248.935,1864.1189,7180.334,75.97070221796002
5,10,1,6,8.42350406374502,11.468262956100885,8.46670121802398,0.0,0,0,1.0,1.0,16.741333333333333,16.709,12.043333333333333,75.61333333333333,6.569,146.10333333333332,118.0870367574,221.80783121697297,221.80783121697297,118.0725006462889,8.319168928571429,118.08728675740001,25.0,8.344475,116.643005,24.723055,0,66.55335142857143,5313.927904083001,1875.0,7255.481255511572,66.7558,5248.935,1854.2291,7169.92,85.56133363657227
6,10,1,6,8.319168928571429,11.468262956100885,8.444859247757746,0.0,0,0,1.0,1.0,16.807666666666666,16.655666666666665,12.182333333333332,76.48666666666666,7.219333333333334,148.32666666666665,118.08728675740001,221.9108565311527,221.9108565311527,118.07695342406667,8.313807426160338,118.10367009073333,25.0,8.368042,116.643005,24.832174,0,66.5104594092827,5314.665154083,1875.0,7256.1756134922825,66.944336,5248.935,1862.4131,7178.2925,77.88313302353254
7,10,1,6,8.313807426160338,11.468262956100885,8.398947263796575,0.0,0,0,1.0,1.0,19.341,19.214333333333332,12.693,68.76,8.149333333333335,152.74333333333334,118.10367009073333,221.91155458533214,221.91155458533214,118.08179925740001,8.077563376068376,118.11572009073333,25.0,8.228448,116.643005,24.88102,0,64.62050700854701,5315.207404083,1875.0,7254.827911091547,65.82758,5248.935,1866.0764,7180.839,73.98904390404732
8,10,1,6,8.077563376068376,11.468262956100885,8.419003033920871,0.0,0,0,1.0,1.0,22.662666666666667,23.087,12.560333333333332,56.483333333333334,10.812333333333333,124.26666666666667,118.11572009073333,221.89039620796723,221.89039620796723,118.08620897962221,8.579449194915254,118.12148675739999,35.18091429323683,8.623407,116.643005,36.17407,0,68.63559355932203,5315.4669040829995,2638.5685719927624,8022.671069635084,68.98726,5248.935,2713.0552,8030.9775,-8.306469427416232
9,10,1,6,8.579449194915254,11.468262956100885,8.522767868306563,0.0,0,0,1.0,1.0,25.009333333333334,25.897666666666666,12.128333333333334,46.0,12.346,95.69666666666667,118.12148675739999,221.94202697660927,221.94202697660927,118.09095342406667,9.456651377777778,118.13365342406665,40.52687674808887,9.517001,116.63673,38.670177,1,75.65321102222222,5316.014404082999,3039.515756106665,8431.183371211886,76.13601,5248.653,2900.2634,8225.053,206.13063683688597
